Time,Battery Charge Level (%),Consumption (W),Export (W),Import (W),Solar Production (W),StoragePower.Power (W),System Production (W)
12/06/2019 00:00,"9.9936","2162.1187","0","2162.1187","0","0","0"
12/06/2019 00:15,"9.9936","2128.2839","0","2128.2839","0","0","0"
12/06/2019 00:30,"9.9936","1132.6377","0","1132.6377","0","0","0"
12/06/2019 00:45,"9.9936","2126.2161","0","2126.2161","0","0","0"
12/06/2019 01:00,"9.4912","1136.2181","0","1136.2181","0","0","0"
12/06/2019 01:15,"9.4912","2123.6287","0","2123.6287","0","0","0"
12/06/2019 01:30,"9.4912","2139.8042","0","2139.8042","0","0","0"
12/06/2019 01:45,"9.4912","2110.9578","0","2110.9578","0","0","0"
12/06/2019 02:00,"9.4912","1136.4471","0","1136.4471","0","0","0"
12/06/2019 02:15,"9.4912","1153.1116","0","1153.1116","0","0","0"
12/06/2019 02:30,"9.4912","2096.0742","0","2096.0742","0","0","0"
12/06/2019 02:45,"9.4912","2099.073","0","2099.073","0","0","0"
12/06/2019 03:00,"9.4912","2104.3772","0","2104.3772","0","0","0"
12/06/2019 03:15,"9.4912","1140.9647","0","1140.9647","0","0","0"
12/06/2019 03:30,"9.4912","2103.7388","0","2103.7388","0","0","0"
12/06/2019 03:45,"9.4912","1141.3427","0","1141.3427","0","0","0"
12/06/2019 04:00,"9.4912","2130.1707","0","2130.1707","0","0","0"
12/06/2019 04:15,"9.4912","2123.6155","0","2123.6155","0","0","0"
12/06/2019 04:30,"9.4912","2150.6743","0","2150.6743","0","0","0"
12/06/2019 04:45,"9.4912","1135.678","0","1135.678","0","0","0"
12/06/2019 05:00,"9.1225","2372.2227","0","2372.2227","0","0","0"
12/06/2019 05:15,"8.9996","2068.1855","0","2068.1855","0","0","0"
12/06/2019 05:30,"8.9996","2126.759","0","2126.759","0","0","0"
12/06/2019 05:45,"8.9996","2162.8135","0","2142.1467","0","0","20.6667"
12/06/2019 06:00,"8.9996","2106.5669","0","2023.2336","0","0","83.3333"
12/06/2019 06:15,"9.1635","1120.3165","0","870.3165","409.4792","211.1458","250"
12/06/2019 06:30,"9.8261","1136.6377","105.379","902.6833","624.3333","285","339.3333"
12/06/2019 06:45,"10.6634","2162.7961","0","1299.4628","1120.5625","257.2292","863.3334"
12/06/2019 07:00,"11.8249","2129.6018","0","1624.2684","644.0417","138.7083","505.3333"
12/06/2019 07:15,"11.9923","2284.563","46.059","957.9554","461","-911.6667","1372.6666"
12/06/2019 07:30,"9.9936","2121.8938","21.952","1949.8458","77.6667","0","194"
12/06/2019 07:45,"9.9936","1103.1295","51.5336","909.3298","180","0","245.3333"
12/06/2019 08:00,"9.9936","1123.0974","20.4074","958.8382","247","128.6667","184.6667"
12/06/2019 08:15,"9.9936","2089.179","55.7588","1836.6044","308.3333","0","308.3333"
12/06/2019 08:30,"9.9936","2090.8152","0","1932.1484","302.75","144.0833","158.6667"
12/06/2019 08:45,"10.3285","2100.896","124.4626","1824.692","400.6667","0","400.6667"
12/06/2019 09:00,"10.4959","1114.373","95.5529","944.5925","371.2292","105.8958","265.3333"
12/06/2019 09:15,"10.9983","2080.0422","56.2921","1745.6676","390.6667","0","390.6667"
12/06/2019 09:30,"11.1622","1119.7747","53.2202","891.3281","379.2292","97.5625","281.6667"
12/06/2019 09:45,"11.49","2130.9849","0","1854.6515","428.9792","152.6458","276.3333"
12/06/2019 10:00,"11.6574","2093.1179","0","1873.7847","319.375","100.0417","219.3333"
12/06/2019 10:15,"11.9923","2092.4792","20.2296","1725.0421","387.6667","0","387.6667"
12/06/2019 10:30,"10.8273","1129.424","0","964.0906","659.6875","494.3542","165.3333"
12/06/2019 10:45,"10.4959","2114.978","0","1730.978","562.9792","178.9792","384"
12/06/2019 11:00,"10.4959","1137.1807","45.983","880.8304","382.625","80.2917","302.3333"
12/06/2019 11:15,"10.4959","2099.1812","0","1910.5144","70.6667","0","188.6667"
12/06/2019 11:30,"10.4959","2099.647","16.6965","1807.3434","246","0","309"
12/06/2019 11:45,"10.9947","2081.1885","0","1530.1886","803.0625","252.0625","551"
12/06/2019 12:00,"11.6574","1119.4978","0","933.4977","695.2083","509.2083","186"
12/06/2019 12:15,"11.4935","1013.9155","211.4433","889.6921","360.9375","-335.6667","335.6667"
12/06/2019 12:30,"10.4959","2065.791","0","1794.4576","462.0208","190.6875","271.3333"
12/06/2019 12:45,"10.8308","2061.8926","0","1555.8927","733.25","227.25","506"
12/06/2019 13:00,"11.4935","2099.8552","0","1433.5219","955.4792","289.1458","666.3333"
12/06/2019 13:15,"11.4971","2083.6414","0","62.9745","1164.6875","-855.9792","2020.6667"
12/06/2019 13:30,"10.8308","1135.9519","0","762.2852","1032.375","658.7083","373.6667"
12/06/2019 13:45,"11.8249","1147.7111","294.9083","776.9526","1027","361.3333","665.6667"
12/06/2019 14:00,"11.1586","1801.516","365.011","59.527","712.7083","-1369.875","2107"
12/06/2019 14:15,"10.9947","2100.3276","0","1518.3278","878.2917","296.2917","582"
12/06/2019 14:30,"11.6574","2155.3625","140.2979","1601.327","756.3125","61.9792","694.3333"
12/06/2019 14:45,"10.8273","2114.8186","12.0054","894.1574","690.7083","-541.9583","1232.6666"
12/06/2019 15:00,"10.4959","1132.8876","104.6232","873.8441","512.8125","149.1458","363.6667"
12/06/2019 15:15,"10.4959","2106.4404","0","1865.1071","382.625","141.2917","241.3333"
12/06/2019 15:30,"10.4959","2092.5645","12.6851","1873.2495","261.6042","92.6042","232"
12/06/2019 15:45,"10.4959","2124.0874","0","1972.0875","0","0","152"
12/06/2019 16:00,"10.4959","2145.033","0","2035.3663","0","0","109.6667"
12/06/2019 16:15,"10.4959","2110.3879","0","2021.0547","0","0","89.3333"
12/06/2019 16:30,"10.4959","1120.3641","0","1081.0308","0","0","39.3333"
12/06/2019 16:45,"10.4959","1140.5115","0","1129.8448","0","0","10.6667"
12/06/2019 17:00,"9.9936","2118.2688","0","2118.2688","0","0","0"
12/06/2019 17:15,"9.9936","1112.0479","0","1112.0479","0","0","0"
12/06/2019 17:30,"9.9936","2124.5427","0","2124.5427","0","0","0"
12/06/2019 17:45,"9.9936","2087.6536","0","2087.6536","0","0","0"
12/06/2019 18:00,"9.9936","2087.71","0","2087.71","0","0","0"
12/06/2019 18:15,"9.9936","1124.8557","0","1124.8557","0","0","0"
12/06/2019 18:30,"9.9936","1143.5259","0","1143.5259","0","0","0"
12/06/2019 18:45,"9.9936","2131.5146","0","2131.5146","0","0","0"
12/06/2019 19:00,"9.4912","2343.4602","0","2343.4602","0","0","0"
12/06/2019 19:15,"9.4912","2099.2261","0","2099.2261","0","0","0"
12/06/2019 19:30,"9.4912","1108.9794","0","1108.9794","0","0","0"
12/06/2019 19:45,"9.4912","1125.8132","0","1125.8132","0","0","0"
12/06/2019 20:00,"9.4912","2079.5037","0","2079.5037","0","0","0"
12/06/2019 20:15,"9.4912","2090.8906","0","2090.8906","0","0","0"
12/06/2019 20:30,"9.4912","2072.1389","0","2072.1389","0","0","0"
12/06/2019 20:45,"9.4912","2075.061","0","2075.061","0","0","0"
12/06/2019 21:00,"9.1635","1129.1333","0","1129.1333","0","0","0"
12/06/2019 21:15,"8.9996","2106.0498","0","2106.0498","0","0","0"
12/06/2019 21:30,"8.9996","2084.0571","0","2084.0571","0","0","0"
12/06/2019 21:45,"8.9996","1109.1619","0","1109.1619","0","0","0"
12/06/2019 22:00,"8.9996","2055.0161","0","2055.0161","0","0","0"
12/06/2019 22:15,"8.9996","1415.7886","0","1415.7886","0","0","0"
12/06/2019 22:30,"8.9996","2051.8518","0","2051.8518","0","0","0"
12/06/2019 22:45,"8.9996","2053.7161","0","2053.7161","0","0","0"
12/06/2019 23:00,"8.9996","1102.3679","0","1102.3679","0","0","0"
12/06/2019 23:15,"8.9996","1107.6543","0","1107.6543","0","0","0"
12/06/2019 23:30,"8.9996","2049.5986","0","2049.5986","0","0","0"
12/06/2019 23:45,"8.9996","2967.4812","0","2967.4812","0","0","0"
12/07/2019 00:00,"8.9996","2044.2892","0","2044.2892","0","0","0"
12/07/2019 00:15,"8.9996","1088.4348","0","1088.4348","0","0","0"
12/07/2019 00:30,"8.9996","1113.479","0","1113.479","0","0","0"
12/07/2019 00:45,"8.9996","2050.4656","0","2050.4656","0","0","0"
12/07/2019 01:00,"8.9996","2056.5168","0","2056.5168","0","0","0"
12/07/2019 01:15,"8.9996","1093.3834","0","1093.3834","0","0","0"
12/07/2019 01:30,"8.9996","2036.1475","0","2036.1475","0","0","0"
12/07/2019 01:45,"8.9996","2026.3732","0","2026.3732","0","0","0"
12/07/2019 02:00,"8.9996","2035.0835","0","2035.0835","0","0","0"
12/07/2019 02:15,"8.9996","2050.4241","0","2050.4241","0","0","0"
12/07/2019 02:30,"8.9996","1101.9712","0","1101.9712","0","0","0"
12/07/2019 02:45,"8.9996","1118.5367","0","1118.5367","0","0","0"
12/07/2019 03:00,"8.6647","2046.0454","0","2046.0454","0","0","0"
12/07/2019 03:15,"8.4972","2044.5027","0","2044.5027","0","0","0"
12/07/2019 03:30,"8.4972","2026.451","0","2026.451","0","0","0"
12/07/2019 03:45,"8.4972","2007.1479","0","2007.1479","0","0","0"
12/07/2019 04:00,"8.4972","1102.7019","0","1102.7019","0","0","0"
12/07/2019 04:15,"8.4972","2045.3542","0","2045.3542","0","0","0"
